,Trial_Name,Trial_ID,Trial_SESSION,Trial_Trial,Trial_Text,Keylog_CLEAN,editor,operating_system,age_group,DIALECT,GENDER,CharacterType,TrialDate,token,uniq,Segment,text_seg
67,tang_session1_trial2,1,1,2,TangPoem,xia1ma1yinliao_*junz1*jiu1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,*,12,1,TangPoem_1
68,tang_session2_trial1,1,2,1,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,1,TangPoem_1
69,tang_session2_trial2,1,2,2,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,1,TangPoem_1
70,tang_session5_trial1,1,5,1,TangPoem,xiamayinjunjiu2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,,,1,TangPoem_1
71,tang_session6_trial1,1,6,1,TangPoem,xiamayinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,1,TangPoem_1
72,tang_session6_trial2,1,6,2,TangPoem,xiama1yinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,1,TangPoem_1
73,tang_session1_trial2,1,1,2,TangPoem,xia1ma1yinliao_*junz1*jiu1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,j,13,1,TangPoem_1
74,tang_session2_trial1,1,2,1,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,j,13,1,TangPoem_1
75,tang_session2_trial2,1,2,2,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,j,13,1,TangPoem_1
76,tang_session5_trial1,1,5,1,TangPoem,xiamayinjunjiu2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,j,13,1,TangPoem_1
77,tang_session6_trial1,1,6,1,TangPoem,xiamayinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,j,13,1,TangPoem_1
78,tang_session6_trial2,1,6,2,TangPoem,xiama1yinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,j,13,1,TangPoem_1
79,tang_session1_trial2,1,1,2,TangPoem,xia1ma1yinliao_*junz1*jiu1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,un,14,1,TangPoem_1
80,tang_session2_trial1,1,2,1,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,un,14,1,TangPoem_1
81,tang_session2_trial2,1,2,2,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,un,14,1,TangPoem_1
82,tang_session5_trial1,1,5,1,TangPoem,xiamayinjunjiu2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,un,14,1,TangPoem_1
83,tang_session6_trial1,1,6,1,TangPoem,xiamayinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,un,14,1,TangPoem_1
84,tang_session6_trial2,1,6,2,TangPoem,xiama1yinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,un,14,1,TangPoem_1
85,tang_session1_trial2,1,1,2,TangPoem,xia1ma1yinliao_*junz1*jiu1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,z,15,1,TangPoem_1
86,tang_session2_trial1,1,2,1,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,1,TangPoem_1
87,tang_session2_trial2,1,2,2,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,1,TangPoem_1
88,tang_session5_trial1,1,5,1,TangPoem,xiamayinjunjiu2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,,,1,TangPoem_1
89,tang_session6_trial1,1,6,1,TangPoem,xiamayinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,1,TangPoem_1
90,tang_session6_trial2,1,6,2,TangPoem,xiama1yinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,1,TangPoem_1
91,tang_session1_trial2,1,1,2,TangPoem,xia1ma1yinliao_*junz1*jiu1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,1,16,1,TangPoem_1
92,tang_session2_trial1,1,2,1,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,1,TangPoem_1
