"token","type","uniq","age_group","dialect","gender","operating_system","input_method","trial","session"
"ia","final","1","18-30","hubei","female","mac","baidu","1","5"
"m","initial","2","18-30","hubei","female","mac","baidu","1","5"
"a","final","3","18-30","hubei","female","mac","baidu","1","5"
"y","initial","4","18-30","hubei","female","mac","baidu","1","5"
"in","final","5","18-30","hubei","female","mac","baidu","1","5"
"j","initial","6","18-30","hubei","female","mac","baidu","1","5"
"un","final","7","18-30","hubei","female","mac","baidu","1","5"
"j","initial","8","18-30","hubei","female","mac","baidu","1","5"
"iu","final","9","18-30","hubei","female","mac","baidu","1","5"
"2","selection","10","18-30","hubei","female","mac","baidu","1","5"
"w","initial","11","18-30","hubei","female","mac","baidu","1","5"
"en","final","12","18-30","hubei","female","mac","baidu","1","5"
"j","initial","13","18-30","hubei","female","mac","baidu","1","5"
"un","final","14","18-30","hubei","female","mac","baidu","1","5"
"h","initial","15","18-30","hubei","female","mac","baidu","1","5"
"e","final","16","18-30","hubei","female","mac","baidu","1","5"
"s","initial","17","18-30","hubei","female","mac","baidu","1","5"
"uo","final","18","18-30","hubei","female","mac","baidu","1","5"
"zh","initial","19","18-30","hubei","female","mac","baidu","1","5"
"i","final","20","18-30","hubei","female","mac","baidu","1","5"
"2","selection","21","18-30","hubei","female","mac","baidu","1","5"
"j","initial","22","18-30","hubei","female","mac","baidu","1","5"
"un","final","23","18-30","hubei","female","mac","baidu","1","5"
"y","initial","24","18-30","hubei","female","mac","baidu","1","5"
"an","final","25","18-30","hubei","female","mac","baidu","1","5"
"b","initial","26","18-30","hubei","female","mac","baidu","1","5"
"u","final","27","18-30","hubei","female","mac","baidu","1","5"
"d","initial","28","18-30","hubei","female","mac","baidu","1","5"
"e","final","29","18-30","hubei","female","mac","baidu","1","5"
"y","initial","30","18-30","hubei","female","mac","baidu","1","5"
"i","final","31","18-30","hubei","female","mac","baidu","1","5"
"2","selection","32","18-30","hubei","female","mac","baidu","1","5"
"g","initial","33","18-30","hubei","female","mac","baidu","1","5"
"ui","final","34","18-30","hubei","female","mac","baidu","1","5"
"w","initial","35","18-30","hubei","female","mac","baidu","1","5"
"o","final","36","18-30","hubei","female","mac","baidu","1","5"
"n","initial","37","18-30","hubei","female","mac","baidu","1","5"
"an","final","38","18-30","hubei","female","mac","baidu","1","5"
"sh","initial","39","18-30","hubei","female","mac","baidu","1","5"
"an","final","40","18-30","hubei","female","mac","baidu","1","5"
"h","initial","41","18-30","hubei","female","mac","baidu","1","5"
"ui","final","42","18-30","hubei","female","mac","baidu","1","5"
"2","selection","43","18-30","hubei","female","mac","baidu","1","5"
"d","initial","44","18-30","hubei","female","mac","baidu","1","5"
"an","final","45","18-30","hubei","female","mac","baidu","1","5"
"q","initial","46","18-30","hubei","female","mac","baidu","1","5"
"u","final","47","18-30","hubei","female","mac","baidu","1","5"
"m","initial","48","18-30","hubei","female","mac","baidu","1","5"
"o","final","49","18-30","hubei","female","mac","baidu","1","5"
"f","initial","50","18-30","hubei","female","mac","baidu","1","5"
"u","final","51","18-30","hubei","female","mac","baidu","1","5"
"w","initial","52","18-30","hubei","female","mac","baidu","1","5"
"en","final","53","18-30","hubei","female","mac","baidu","1","5"
"2","selection","54","18-30","hubei","female","mac","baidu","1","5"
"b","initial","55","18-30","hubei","female","mac","baidu","1","5"
"ai","final","56","18-30","hubei","female","mac","baidu","1","5"
"y","initial","57","18-30","hubei","female","mac","baidu","1","5"
"un","final","58","18-30","hubei","female","mac","baidu","1","5"
"w","initial","59","18-30","hubei","female","mac","baidu","1","5"
"u","final","60","18-30","hubei","female","mac","baidu","1","5"
"j","initial","61","18-30","hubei","female","mac","baidu","1","5"
"in","final","62","18-30","hubei","female","mac","baidu","1","5"
"sh","initial","63","18-30","hubei","female","mac","baidu","1","5"
"i","final","64","18-30","hubei","female","mac","baidu","1","5"
"2","selection","65","18-30","hubei","female","mac","baidu","1","5"
"x","initial","0","18-30","mandarin","male","mac","sougou","1","6"
"ia","final","1","18-30","mandarin","male","mac","sougou","1","6"
"m","initial","2","18-30","mandarin","male","mac","sougou","1","6"
"a","final","3","18-30","mandarin","male","mac","sougou","1","6"
"y","initial","4","18-30","mandarin","male","mac","sougou","1","6"
"in","final","5","18-30","mandarin","male","mac","sougou","1","6"
"j","initial","6","18-30","mandarin","male","mac","sougou","1","6"
"un","final","7","18-30","mandarin","male","mac","sougou","1","6"
"j","initial","8","18-30","mandarin","male","mac","sougou","1","6"
"iu","final","9","18-30","mandarin","male","mac","sougou","1","6"
"1","selection","10","18-30","mandarin","male","mac","sougou","1","6"
"w","initial","11","18-30","mandarin","male","mac","sougou","1","6"
"en","final","12","18-30","mandarin","male","mac","sougou","1","6"
"j","initial","13","18-30","mandarin","male","mac","sougou","1","6"
"un","final","14","18-30","mandarin","male","mac","sougou","1","6"
"h","initial","15","18-30","mandarin","male","mac","sougou","1","6"
"e","final","16","18-30","mandarin","male","mac","sougou","1","6"
"s","initial","17","18-30","mandarin","male","mac","sougou","1","6"
